BARANGAY,COLOR STATUS,ANNOUNCEMENT
Abanao-Zandueta-Kayong-Chugum-Otek,Safe, Stay Safe
Alfonso Tabora,Monitor, Be prepared
Ambiong,Evacuate, Please proceed to the nearest evacuation center
Andres Bonifacio,,
Asin Road,,
Atok Trail,,
Aurora Hill Proper,,
"Aurora Hill, North Central",,
"Aurora Hill, South Central",,
Bakakeng Central,,
Bakakeng North,Evacuate,
Bal-Marcoville,,
Balsigan,,
Bayan Park East,,
Bayan Park Village,,
Bayan Park West,,
BGH Compound,,
Brookside,,
Brookspoint,,
Cabinet Hill-Teacher's Camp,,
Camdas Subdivision,,
Camp 7,,
Camp 8,,
Camp Allen,,
Campo Filipino,,
City Camp Central,,
City Camp Proper,,
Country Club Village,,
Cresencia Village,,
"Dagsian, Lower",,
"Dagsian, Upper",,
Dominican Hill-Mirador,,
DPS Area,,
Engineers' Hill,,
Fairview Village,,
Ferdinand,,
Fort del Pilar,,
Gabriela Silang,,
General Emilio F. Aguinaldo,,
"General Luna, Lower",,
"General Luna, Upper",,
Gibraltar,,
Greenwater Village,,
Guisad Central,,
Guisad Sorong,,
Happy Hollow,,
Happy Homes,,
Harrison-Claudio Carantes,,
Hillside,,
Holy Ghost Extension,,
Holy Ghost Proper,,
Honeymoon,,
Imelda R. Marcos,,
Imelda Village,,
Irisan,,
Kabayanihan,,
Kagitingan,,
Kayang Extension,,
Kias,,
Legarda-Burnham-Kisad,,
Liwanag-Loakan,,
Loakan Proper,,
Lopez Jaena,,
Lourdes Subdivision Extension,,
"Lourdes Subdivision, Proper",,
Lualhati,,
Lucnab,,
Magsaysay Private Road,,
"Magsaysay, Lower",,
Malcolm Square-Perfecto,,
Manuel A. Roxas,,
"Market Subdivision, Upper",,
Military Cut-off,,
Mines View Park,,
"Modern Site, East",,
"Modern Site, West",,
MRR-Queen Of Peace,,
New Lucban,,
Outlook Drive,,
Padre Burgos,,
Padre Zamora,,
Palma-Urbano,,
Phil-Am,,
Pinget,,
Pinsao Pilot Project,,
Pinsao Proper,,
Poliwes,,
Pucsusan,,
Quezon Hill Proper,,
"Quezon Hill, Upper",,
"Quirino Hill, East",,
"Quirino Hill, Lower",,
"Quirino Hill, Middle",,
"Quirino-Magsaysay, Upper",,
"Rock Quarry, Lower",,
"Rock Quarry, Middle",,
"Rock Quarry, Upper",,
Saint Joseph Village,,
Salud Mitra,,
San Antonio Village,,
San Luis Village,,
San Roque Village,,
San Vicente,,
"Sanitary Camp, North",,
"Sanitary Camp, South",,
Santa Escolastica,,
Santo Rosario,,
Santo Tomas Proper,,
Scout Barrio,,
Session Road Area,,
Slaughter House Area,,
South Drive,,
Teodora Alonzo,,
Trancoville,,
Victoria Village,,
